epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9746835231781006,9.999999747378752e-06,0.05989040806889534,0.9908289313316345,0.9743322730064392,0.9566532373428345,0.1082991510629654,0.9913420081138611,0.9488950371742249
1,0.9375,9.999999747378752e-06,0.08199568092823029,1.0,0.9130434989929199,0.9556451439857483,0.10764405876398087,0.9899135231971741,0.9488950371742249
2,0.9878481030464172,9.999999747378752e-06,0.03474709019064903,0.9950997829437256,0.9881821274757385,0.9737903475761414,0.07185421139001846,0.9833794832229614,0.980663001537323
3,0.90625,9.999999747378752e-06,0.15031126141548157,1.0,0.8965517282485962,0.9737903475761414,0.07148536294698715,0.9833794832229614,0.980663001537323
4,0.9934177398681641,9.999999747378752e-06,0.019472520798444748,0.9972135424613953,0.9937521815299988,0.975806474685669,0.0771375298500061,0.9847645163536072,0.9820442199707031
5,1.0,9.999999747378752e-06,0.010749583132565022,1.0,1.0,0.975806474685669,0.07706603407859802,0.9847645163536072,0.9820442199707031
6,0.9941772222518921,9.999999747378752e-06,0.015071696601808071,0.9989521503448486,0.9930555820465088,0.9707661271095276,0.08563153445720673,0.9873772859573364,0.9723756909370422
7,1.0,9.999999747378752e-06,0.019951846450567245,1.0,1.0,0.9707661271095276,0.08624916523694992,0.9873772859573364,0.9723756909370422
8,0.9969620108604431,9.999999747378752e-06,0.00934043899178505,1.0,0.9958405494689941,0.9747983813285828,0.07350021600723267,0.9847434163093567,0.980663001537323
9,1.0,4.999999873689376e-06,0.004867373965680599,1.0,1.0,0.9747983813285828,0.07352080941200256,0.9847434163093567,0.980663001537323
10,0.9989873170852661,4.999999873689376e-06,0.007607024163007736,1.0,0.9986140131950378,0.9747983813285828,0.07845452427864075,0.9874476790428162,0.9779005646705627
11,1.0,4.999999873689376e-06,0.0019101124489679933,1.0,1.0,0.9747983813285828,0.07842337340116501,0.9874476790428162,0.9779005646705627
