fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.9738955823293173,0.9668955784069584,0.9668955784069584,0.9668955784069584,0.9738955823293173,0.9738955823293173,0.9738955823293173
2,resnet50v2,0.9568273092369478,0.9377059792843692,0.9563746721005507,0.9464177806692147,0.9585573343278954,0.9568273092369478,0.9572778355303121
3,resnet50v2,0.9658291457286432,0.9618883246600638,0.9508433438815325,0.9561751233262861,0.965663912140862,0.9658291457286432,0.9656224214801986
4,resnet50v2,0.9738693467336683,0.9658824488797375,0.9680532940080084,0.9669604086845467,0.9739398712180298,0.9738693467336683,0.9738997156921261
5,resnet50v2,0.9628140703517588,0.9505831317006996,0.9557974131309718,0.9531449458522809,0.9630876931403731,0.9628140703517588,0.9629210296935672
