epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9470751881599426,9.999999747378752e-06,0.166808620095253,0.9767940044403076,0.949999988079071,0.9264112710952759,0.1710146814584732,0.9836552739143372,0.9143646359443665
1,0.9375,9.999999747378752e-06,0.1304922103881836,0.9599999785423279,0.9599999785423279,0.9264112710952759,0.17239756882190704,0.9850968718528748,0.9129834175109863
2,0.9511268734931946,9.999999747378752e-06,0.1326352059841156,0.9796718955039978,0.9528269171714783,0.9223790168762207,0.19133970141410828,0.9923896789550781,0.90055251121521
3,0.90625,9.999999747378752e-06,0.2328566014766693,0.9523809552192688,0.9090909361839294,0.9213709831237793,0.19526474177837372,0.9923780560493469,0.8991712927818298
4,0.9526462554931641,9.999999747378752e-06,0.12259770929813385,0.9869894981384277,0.9476058483123779,0.9364919066429138,0.16502656042575836,0.9881831407546997,0.9240331649780273
5,0.9375,9.999999747378752e-06,0.09643770754337311,0.95652174949646,0.95652174949646,0.9375,0.16354459524154663,0.9896449446678162,0.9240331649780273
6,0.9534059166908264,9.999999747378752e-06,0.11282699555158615,0.9838362336158752,0.9517025947570801,0.9314516186714172,0.16990038752555847,0.9895522594451904,0.9157458543777466
7,0.9375,9.999999747378752e-06,0.09608735144138336,1.0,0.9259259104728699,0.9314516186714172,0.17074130475521088,0.9895522594451904,0.9157458543777466
8,0.9602431058883667,9.999999747378752e-06,0.10997799783945084,0.9871290922164917,0.9580152630805969,0.9324596524238586,0.17320817708969116,0.9895678162574768,0.9171270728111267
9,0.96875,9.999999747378752e-06,0.08066332340240479,0.9583333134651184,1.0,0.930443525314331,0.1763106882572174,0.9895366430282593,0.9143646359443665
10,0.9607495665550232,9.999999747378752e-06,0.1084369570016861,0.9895721077919006,0.9562196135520935,0.9344757795333862,0.1648041009902954,0.98959881067276,0.919889509677887
11,0.9375,4.999999873689376e-06,0.06895312666893005,1.0,0.9259259104728699,0.9344757795333862,0.16503065824508667,0.98959881067276,0.919889509677887
12,0.9668270349502563,4.999999873689376e-06,0.08907239884138107,0.9914101362228394,0.9628084897994995,0.9254032373428345,0.1909511685371399,0.9909365773200989,0.9060773253440857
13,0.9375,4.999999873689376e-06,0.08706198632717133,1.0,0.9285714030265808,0.9254032373428345,0.19053500890731812,0.9909365773200989,0.9060773253440857
