epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9407594799995422,9.999999747378752e-06,0.19106140732765198,0.9701810479164124,0.9479708671569824,0.9596773982048035,0.10600409656763077,0.9871794581413269,0.9571823477745056
1,0.96875,9.999999747378752e-06,0.14275602996349335,0.9583333134651184,1.0,0.9606854915618896,0.10551618039608002,0.9885877370834351,0.9571823477745056
2,0.944810152053833,9.999999747378752e-06,0.1407346874475479,0.9791741371154785,0.9445791244506836,0.9405242204666138,0.14929020404815674,0.9925925731658936,0.9254143834114075
3,0.90625,9.999999747378752e-06,0.21866735816001892,0.8999999761581421,0.9473684430122375,0.9405242204666138,0.15095779299736023,0.9925925731658936,0.9254143834114075
4,0.949367105960846,9.999999747378752e-06,0.1372663974761963,0.9806382060050964,0.9493231773376465,0.9495967626571655,0.12825527787208557,0.9884058237075806,0.9419889450073242
5,1.0,9.999999747378752e-06,0.032988276332616806,1.0,1.0,0.9495967626571655,0.12791965901851654,0.9884058237075806,0.9419889450073242
6,0.9579746723175049,9.999999747378752e-06,0.11233548074960709,0.984994649887085,0.9569593667984009,0.9596773982048035,0.10250992327928543,0.9844192862510681,0.9599447250366211
7,0.96875,9.999999747378752e-06,0.1070551872253418,1.0,0.9599999785423279,0.9596773982048035,0.1026875227689743,0.9844192862510681,0.9599447250366211
8,0.9567088484764099,9.999999747378752e-06,0.10591618716716766,0.9849731922149658,0.9552394151687622,0.9495967626571655,0.1406354010105133,0.9926900863647461,0.9378452897071838
9,1.0,9.999999747378752e-06,0.036584656685590744,1.0,1.0,0.9516128897666931,0.13650259375572205,0.9927113652229309,0.9406077265739441
10,0.9584810137748718,9.999999747378752e-06,0.10333076864480972,0.9857040643692017,0.9569743275642395,0.9495967626571655,0.1498716175556183,0.9926900863647461,0.9378452897071838
11,1.0,9.999999747378752e-06,0.01602897420525551,1.0,1.0,0.9506048560142517,0.14733736217021942,0.9927007555961609,0.939226508140564
12,0.9579746723175049,4.999999873689376e-06,0.100612573325634,0.9853623509407043,0.9566724300384521,0.9566532373428345,0.12262438237667084,0.9927641153335571,0.9475138187408447
13,1.0,4.999999873689376e-06,0.05357010290026665,1.0,1.0,0.9566532373428345,0.12296582013368607,0.9927641153335571,0.9475138187408447
14,0.9670885801315308,4.999999873689376e-06,0.08240970969200134,0.9883061647415161,0.9663894772529602,0.9627016186714172,0.10965553671121597,0.9928264021873474,0.9558011293411255
