fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.9578313253012049,0.9372848688458533,0.9605753644605575,0.9479481372719807,0.9602367641057338,0.9578313253012049,0.9583778610447563
2,resnet50v2,0.9377510040160643,0.9080945721812091,0.9491621625767656,0.9250506119555877,0.9456156931214402,0.9377510040160643,0.93923787918412
3,resnet50v2,0.9567839195979899,0.9421927596702344,0.9493251200753736,0.9456715659820323,0.9572450397762938,0.9567839195979899,0.956956778432016
4,resnet50v2,0.9597989949748744,0.9417089903344554,0.9595814515550913,0.9500817755837172,0.9613458837327249,0.9597989949748744,0.960197423104808
5,resnet50v2,0.9668341708542714,0.955619729289207,0.9608922957182504,0.9582103571114937,0.9670850532159059,0.9668341708542714,0.9669295670239924
