epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8918713331222534,0.0010000000474974513,0.2792147397994995,0.9633824229240417,0.885496199131012,0.9213709831237793,0.19190485775470734,0.9864457845687866,0.9046961069107056
1,1.0,0.0010000000474974513,0.04456121847033501,1.0,1.0,0.9203628897666931,0.1932123899459839,0.9864253401756287,0.9033148884773254
2,0.9121296405792236,0.0010000000474974513,0.23377546668052673,0.9654792547225952,0.9122137427330017,0.8881048560142517,0.22891607880592346,0.9919742941856384,0.8535911440849304
3,0.9375,0.0010000000474974513,0.13506914675235748,1.0,0.9130434989929199,0.8840726017951965,0.23482072353363037,0.9919224381446838,0.8480662703514099
4,0.928083062171936,0.0005000000237487257,0.1820719838142395,0.9779492616653442,0.9223570227622986,0.9173387289047241,0.18324634432792664,0.9893292784690857,0.8964088559150696
5,0.84375,0.0005000000237487257,0.30963388085365295,0.8947368264198303,0.8500000238418579,0.9153226017951965,0.18317537009716034,0.9892966151237488,0.8936464190483093
6,0.9351734519004822,0.0005000000237487257,0.173151895403862,0.9795620441436768,0.930651843547821,0.9173387289047241,0.1805979311466217,0.9908257126808167,0.8950276374816895
7,0.96875,0.0005000000237487257,0.04365704953670502,1.0,0.9523809552192688,0.9173387289047241,0.18119339644908905,0.9908257126808167,0.8950276374816895
8,0.9326411485671997,0.0005000000237487257,0.16824615001678467,0.9759650230407715,0.9305555820465088,0.9344757795333862,0.16753414273262024,0.9881481528282166,0.9212707281112671
9,0.96875,0.0005000000237487257,0.05166220664978027,1.0,0.9599999785423279,0.9354838728904724,0.16599403321743011,0.9881656765937805,0.9226519465446472
