fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.9538152610441767,0.9312726694700943,0.9578243328236937,0.9432349253391086,0.9569555225569841,0.9538152610441767,0.9545042131365998
2,resnet50v2,0.9337349397590361,0.904424155655174,0.9405562401885836,0.919732343459998,0.9403181105203314,0.9337349397590361,0.9351486634238428
3,resnet50v2,0.9608040201005025,0.9463742813280756,0.955590033487972,0.9508374919709472,0.9613956722597363,0.9608040201005025,0.9610042405316767
4,resnet50v2,0.949748743718593,0.9239782970987047,0.9585445533400925,0.9389168827597045,0.9548893052490693,0.949748743718593,0.9507311081969647
5,resnet50v2,0.963819095477387,0.9481056695914559,0.9623362724917304,0.9548739190905243,0.9648446803836948,0.963819095477387,0.9641017872819381
