epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.931121826171875,9.999999747378752e-06,0.1720825582742691,0.9745176434516907,0.9298367500305176,0.9334677457809448,0.1508684754371643,0.9824047088623047,0.9254143834114075
1,0.9375,9.999999747378752e-06,0.18558838963508606,1.0,0.9230769276618958,0.9334677457809448,0.15097731351852417,0.9824047088623047,0.9254143834114075
2,0.9458090662956238,9.999999747378752e-06,0.14007437229156494,0.9809008836746216,0.9441553950309753,0.9375,0.1709744781255722,0.9882006049156189,0.9254143834114075
3,0.875,9.999999747378752e-06,0.30931687355041504,0.9090909361839294,0.9090909361839294,0.9334677457809448,0.17540034651756287,0.9881305694580078,0.919889509677887
4,0.9528994560241699,9.999999747378752e-06,0.13004858791828156,0.983476996421814,0.9513550996780396,0.9314516186714172,0.18667662143707275,0.988095223903656,0.9171270728111267
5,0.90625,9.999999747378752e-06,0.18460938334465027,1.0,0.8888888955116272,0.9294354915618896,0.1908940076828003,0.9880596995353699,0.9143646359443665
6,0.9485945701599121,4.999999873689376e-06,0.13599629700183868,0.9816941618919373,0.9473502039909363,0.9233871102333069,0.2069648951292038,0.9879518151283264,0.9060773253440857
7,1.0,4.999999873689376e-06,0.03832101821899414,1.0,1.0,0.9233871102333069,0.2068633735179901,0.9879518151283264,0.9060773253440857
8,0.9579640626907349,4.999999873689376e-06,0.10850321501493454,0.9846373796463013,0.9572768211364746,0.9092742204666138,0.24037571251392365,0.9876922965049744,0.8867403268814087
