fold,arch,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,resnet50v2,0.9538152610441767,0.9324494244558912,0.9554823765231664,0.9429908170121694,0.9563166272789028,0.9538152610441767,0.9544138478109238
2,resnet50v2,0.9508032128514057,0.9310400866738895,0.9475642120442006,0.9388064473659463,0.9523879918373386,0.9508032128514057,0.9512656731989176
3,resnet50v2,0.9567839195979899,0.9421927596702344,0.9493251200753736,0.9456715659820323,0.9572450397762938,0.9567839195979899,0.956956778432016
4,resnet50v2,0.9547738693467337,0.9333435228585014,0.9573079562096122,0.9442681799001993,0.9574065900455337,0.9547738693467337,0.9553818374860007
5,resnet50v2,0.9658291457286432,0.9513716518635924,0.9637136829600499,0.9572853535353536,0.9666304848805167,0.9658291457286432,0.9660595401248667
