epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8668354153633118,0.0010000000474974513,0.32145020365715027,0.9499809145927429,0.8629899621009827,0.9354838728904724,0.18768742680549622,0.9570637345314026,0.9544199109077454
1,0.96875,0.0010000000474974513,0.18962274491786957,1.0,0.95652174949646,0.9354838728904724,0.187253937125206,0.9608938694000244,0.950276255607605
2,0.9116455912590027,0.0010000000474974513,0.21753673255443573,0.9695732593536377,0.9072916507720947,0.9415322542190552,0.16893379390239716,0.9840116500854492,0.9350828528404236
3,0.9375,0.0010000000474974513,0.09898325800895691,1.0,0.9230769276618958,0.9405242204666138,0.16730396449565887,0.9825834631919861,0.9350828528404236
4,0.9222784638404846,0.0010000000474974513,0.19139060378074646,0.972150981426239,0.9199029207229614,0.9455645084381104,0.1440722793340683,0.9883381724357605,0.9364640712738037
5,0.96875,0.0010000000474974513,0.09949076175689697,0.95652174949646,1.0,0.9455645084381104,0.14355500042438507,0.9883381724357605,0.9364640712738037
6,0.9200000166893005,0.0010000000474974513,0.19404862821102142,0.9744444489479065,0.9141765236854553,0.944556474685669,0.15328818559646606,0.9897511005401611,0.9337016344070435
7,0.8125,0.0010000000474974513,0.34591734409332275,1.0,0.7857142686843872,0.944556474685669,0.15165828168392181,0.9897511005401611,0.9337016344070435
8,0.9301266074180603,0.0010000000474974513,0.1656147539615631,0.9780058860778809,0.925104022026062,0.9254032373428345,0.16972535848617554,0.9879879951477051,0.908839762210846
9,0.875,0.0005000000237487257,0.15824013948440552,1.0,0.8181818127632141,0.9264112710952759,0.16924889385700226,0.9865471124649048,0.9116021990776062
